crime_date_time,location,district,neighborhood,premise,year,month,date,time_range,quarter,longitude,latitude,victims,average_age,juvenile_victims,id,near_western_near,geometry,color
2022-06-10T11:50:00Z,500 Presstman St,Central,Druid Heights,Street,2022,6,2022-06-10,Morning,2,-76.6356,39.3074,1,38,0,6098,TRUE,"c(-76.6356, 39.3074)",#00d3ff
2022-06-11T04:14:00Z,NA,Southern,Washington Village/Pigtown,Public School,2022,6,2022-06-11,Morning,2,-76.638,39.2856,1,24,0,6100,TRUE,"c(-76.638, 39.2856)",#d25a3f
2022-06-12T10:56:00Z,1900 Christian St,Southern,Carrollton Ridge,Alley,2022,6,2022-06-12,Morning,2,-76.6467,39.2828,1,24,0,6102,TRUE,"c(-76.6467, 39.2828)",#d25a3f
2022-06-14T23:06:00Z,1500 Shields Pl,Central,Upton,Street,2022,6,2022-06-14,Night,2,-76.6342,39.3009,1,32,0,6107,TRUE,"c(-76.6342, 39.3009)",#00d3ff
2022-06-15T03:52:15Z,400 W Mulberry St,Central,Downtown,Common Business,2022,6,2022-06-15,Early Morning,2,-76.622,39.2938,1,33,0,6109,TRUE,"c(-76.622, 39.2938)",#00d3ff
2022-06-15T06:05:57Z,2200 Ashton St,Southwestern,Carrollton Ridge,Street,2022,6,2022-06-15,Morning,2,-76.6512,39.282,1,21,0,6110,TRUE,"c(-76.6512, 39.282)",#0065d1
2022-06-18T16:58:28Z,1900 Ramsay St,Southern,Carrollton Ridge,Street,2022,6,2022-06-18,After School,2,-76.6467,39.2832,1,29,0,6120,TRUE,"c(-76.6467, 39.2832)",#d25a3f
2022-06-19T23:56:00Z,2700 Kinsey Ave,Southwestern,Shipley Hill,Street,2022,6,2022-06-19,Night,2,-76.6596,39.2877,2,45,0,6125,TRUE,"c(-76.6596, 39.2877)",#0065d1
2022-06-20T20:45:53Z,400 Presstman St,Central,Druid Heights,Alley,2022,6,2022-06-20,Night,2,-76.6339,39.3087,1,31,0,6127,TRUE,"c(-76.6339, 39.3087)",#00d3ff
2022-06-21T01:14:07Z,0 S Greene St,Central,University Of Maryland,Hospital,2022,6,2022-06-21,Early Morning,2,-76.6237,39.2884,1,17,1,6129,TRUE,"c(-76.6237, 39.2884)",#00d3ff
2022-06-24T21:34:54Z,100 S Mount St,Southern,Union Square,Dwelling,2022,6,2022-06-24,Night,2,-76.6437,39.2861,1,32,0,6140,TRUE,"c(-76.6437, 39.2861)",#d25a3f
2022-06-26T04:01:14Z,2500 Liberty Heights Ave,Northwestern,Burleith-Leighton,Dwelling,2022,6,2022-06-26,Morning,2,-76.6568,39.3195,2,21,0,6149,TRUE,"c(-76.6568, 39.3195)",#ff9200
2022-07-01T17:22:00Z,400 S Gilmor St,Southern,New Southwest/Mount Clare,Street,2022,7,2022-07-01,Evening,3,-76.6421,39.2832,1,25,0,6162,TRUE,"c(-76.6421, 39.2832)",#d25a3f
2022-07-01T21:37:00Z,600 Laurens St,Central,Upton,Street,2022,7,2022-07-01,Night,3,-76.6357,39.3043,1,37,0,6163,TRUE,"c(-76.6357, 39.3043)",#00d3ff
2022-07-02T18:42:46Z,600 N Eutaw St,Central,Seton Hill,Street,2022,7,2022-07-02,Evening,3,-76.6214,39.2958,1,52,0,6168,TRUE,"c(-76.6214, 39.2958)",#00d3ff
2022-07-03T15:24:47Z,600 Mosher St,Central,Upton,Street,2022,7,2022-07-03,After School,3,-76.6328,39.302,1,19,0,6171,TRUE,"c(-76.6328, 39.302)",#00d3ff
2022-07-05T16:25:10Z,1200 Division St,Central,Upton,Street,2022,7,2022-07-05,After School,3,-76.6287,39.3004,1,16,1,6174,TRUE,"c(-76.6287, 39.3004)",#00d3ff
2022-07-09T00:34:28Z,2500 W Fairmount Ave,Southwestern,Shipley Hill,Street,2022,7,2022-07-09,Early Morning,3,-76.6569,39.2884,2,35.5,0,6181,TRUE,"c(-76.6569, 39.2884)",#0065d1
2022-07-11T00:36:54Z,400 S Bentalou St,Southwestern,Millhill,Street,2022,7,2022-07-11,Early Morning,3,-76.6526,39.283,1,17,1,6187,TRUE,"c(-76.6526, 39.283)",#0065d1
2022-07-13T02:32:19Z,700 Pennsylvania Ave,Central,Seton Hill,Street,2022,7,2022-07-13,Early Morning,3,-76.6252,39.2957,1,37,0,6192,TRUE,"c(-76.6252, 39.2957)",#00d3ff
2022-07-13T03:54:15Z,500 W Mulberry St,Central,University Of Maryland,Parking Lot,2022,7,2022-07-13,Early Morning,3,-76.6234,39.2937,1,52,0,6193,TRUE,"c(-76.6234, 39.2937)",#00d3ff
2022-07-16T23:57:25Z,1300 Ramsay St,Southern,New Southwest/Mount Clare,Street,2022,7,2022-07-16,Night,3,-76.6386,39.2839,1,22,0,6201,TRUE,"c(-76.6386, 39.2839)",#d25a3f
2022-07-17T14:05:14Z,2700 W Fairmount Ave,Southwestern,Shipley Hill,Street,2022,7,2022-07-17,Early Afternoon,3,-76.6593,39.2884,1,40,0,6203,TRUE,"c(-76.6593, 39.2884)",#0065d1
2022-07-18T12:21:00Z,600 Pitcher St,Central,Upton,Street,2022,7,2022-07-18,Early Afternoon,3,-76.6342,39.3031,1,41,0,6207,TRUE,"c(-76.6342, 39.3031)",#00d3ff
2022-07-20T00:07:32Z,3300 Powhatan Ave,Northwestern,Forest Park,Street,2022,7,2022-07-20,Early Morning,3,-76.6738,39.3206,1,27,0,6211,TRUE,"c(-76.6738, 39.3206)",#ff9200
2022-07-23T07:22:26Z,1300 W Pratt St,Southern,Union Square,Street,2022,7,2022-07-23,Morning,3,-76.638,39.2856,1,27,0,6226,TRUE,"c(-76.638, 39.2856)",#d25a3f
2022-07-26T16:35:29Z,800 Edmondson Ave,Central,Upton,Alley,2022,7,2022-07-26,After School,3,-76.6309,39.2962,1,34,0,6232,TRUE,"c(-76.6309, 39.2962)",#00d3ff
2022-07-26T18:32:00Z,2100 Hollins St,Southwestern,Boyd-Booth,Street,2022,7,2022-07-26,Evening,3,-76.6501,39.2871,1,39,0,6233,TRUE,"c(-76.6501, 39.2871)",#0065d1
2022-07-28T04:38:03Z,2900 Mosher St,Southwestern,Franklintown Road,Street,2022,7,2022-07-28,Morning,3,-76.6659,39.2991,1,40,0,6236,TRUE,"c(-76.6659, 39.2991)",#0065d1
2022-07-29T10:36:08Z,3100 W North Ave,Southwestern,Walbrook,Street,2022,7,2022-07-29,Morning,3,-76.6694,39.3091,4,35.2,1,6239,TRUE,"c(-76.6694, 39.3091)",#0065d1
2022-08-03T20:38:39Z,2900 Belmont Ave,Southwestern,Northwest Community Action,Street,2022,8,2022-08-03,Night,3,-76.666,39.3036,2,30,0,6253,TRUE,"c(-76.666, 39.3036)",#0065d1
2022-08-05T00:49:23Z,500 W Preston St,Central,Upton,Street,2022,8,2022-08-05,Early Morning,3,-76.6269,39.2987,1,32,0,6256,TRUE,"c(-76.6269, 39.2987)",#00d3ff
2022-08-06T19:59:15Z,600 Linnard St,Southwestern,Edgewood,Dwelling,2022,8,2022-08-06,Evening,3,-76.6765,39.294,1,15,1,6262,TRUE,"c(-76.6765, 39.294)",#0065d1
2022-08-06T23:23:22Z,600 Laurens St,Central,Upton,Street,2022,8,2022-08-06,Night,3,-76.6357,39.3043,1,37,0,6263,TRUE,"c(-76.6357, 39.3043)",#00d3ff
2022-08-07T22:55:00Z,1000 Poplar Grove St,Southwestern,Franklintown Road,Street,2022,8,2022-08-07,Night,3,-76.6652,39.2992,2,37.5,0,6264,TRUE,"c(-76.6652, 39.2992)",#0065d1
2022-08-08T15:34:00Z,2800 Baker St,Southwestern,Northwest Community Action,Hospital,2022,8,2022-08-08,After School,3,-76.664,39.3061,2,15.5,2,6266,TRUE,"c(-76.664, 39.3061)",#0065d1
